Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Trp-Dbl,Awards
61.0,Don Nelson,33.0,BOS,SF,82.0,,1748.0,4.439024390243903,8.74390243902439,0.508,2.6219512195121952,3.3292682926829267,0.788,90.0,255.0,345.0,162.0,19.0,13.0,189.0,11.5,0.0,
62.0,Rick Roberson,26.0,POR,C,69.0,,2060.0,5.27536231884058,11.55072463768116,0.457,2.971014492753623,4.579710144927536,0.649,251.0,450.0,701.0,133.0,65.0,55.0,252.0,13.521739130434783,0.0,
63.0,Phil Jackson,28.0,NYK,PF,82.0,21.0,2050.0,4.402439024390244,9.231707317073171,0.477,2.3292682926829267,3.0,0.776,123.0,355.0,478.0,134.0,42.0,67.0,277.0,11.134146341463415,0.0,
64.0,Clem Haskins,30.0,PHO,SG,81.0,,1822.0,4.493827160493828,9.777777777777779,0.46,2.111111111111111,2.506172839506173,0.842,78.0,144.0,222.0,259.0,81.0,16.0,166.0,11.098765432098766,0.0,
65.0,Oscar Robertson,35.0,MIL,PG,70.0,,2477.0,4.828571428571428,11.028571428571428,0.438,3.0285714285714285,3.6285714285714286,0.835,71.0,208.0,279.0,446.0,77.0,4.0,132.0,12.685714285714285,2.0,
66.0,Jim Fox,30.0,SEA,C,78.0,,2179.0,4.128205128205129,8.628205128205128,0.478,3.08974358974359,3.7564102564102564,0.823,244.0,470.0,714.0,227.0,56.0,21.0,247.0,11.346153846153847,1.0,
67.0,Jim Barnett,29.0,GSW,SG,77.0,,1689.0,4.545454545454546,9.805194805194805,0.464,2.3896103896103895,2.935064935064935,0.814,76.0,146.0,222.0,209.0,56.0,11.0,146.0,11.480519480519481,0.0,
68.0,Curtis Rowe,24.0,DET,PF,82.0,,2499.0,4.634146341463414,9.378048780487806,0.494,1.4390243902439024,2.0609756097560976,0.698,167.0,348.0,515.0,136.0,49.0,36.0,177.0,10.707317073170731,0.0,
69.0,Ron Behagen,23.0,KCO,PF,80.0,,2059.0,4.4625,10.3375,0.432,2.025,2.65,0.764,188.0,379.0,567.0,134.0,56.0,37.0,291.0,10.95,0.0,ROY-2
70.0,Herm Gilliam,27.0,ATL,PG,62.0,,2003.0,6.193548387096774,13.64516129032258,0.454,1.7096774193548387,2.161290322580645,0.791,61.0,206.0,267.0,355.0,134.0,18.0,190.0,14.096774193548388,1.0,
