Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Trp-Dbl,Awards
74.0,Bob Weiss,29.0,CHI,PG,82.0,63.0,2450.0,4.365853658536586,10.146341463414634,0.43,2.5853658536585367,3.097560975609756,0.835,170.0,377.0,212.0,11.317073170731707,0.0,
75.0,Gary Gregor,26.0,POR,SF,82.0,,2371.0,4.865853658536586,10.78048780487805,0.451,1.3902439024390243,1.8414634146341464,0.755,591.0,187.0,201.0,11.121951219512194,0.0,
77.0,Norm Van Lier,24.0,2TM,PG,79.0,25.0,2415.0,4.227848101265823,9.632911392405063,0.439,3.0,3.7974683544303796,0.79,357.0,542.0,239.0,11.455696202531646,1.0,
78.0,Fred Foster,25.0,PHI,SF,74.0,14.0,1699.0,4.6891891891891895,11.31081081081081,0.415,2.5,3.2837837837837838,0.761,276.0,90.0,184.0,11.878378378378379,0.0,
79.0,Lee Winfield,24.0,SEA,PG,81.0,,2040.0,4.234567901234568,8.54320987654321,0.496,2.1604938271604937,3.234567901234568,0.668,218.0,290.0,198.0,10.62962962962963,0.0,
80.0,Jon McGlocklin,28.0,MIL,SG,80.0,,2213.0,4.675,9.1625,0.51,1.3625,1.575,0.865,181.0,231.0,146.0,10.7125,0.0,
81.0,Herm Gilliam,25.0,ATL,PG,82.0,,2337.0,4.2073170731707314,9.439024390243903,0.446,1.7682926829268293,2.1097560975609757,0.838,335.0,377.0,232.0,10.182926829268293,0.0,
82.0,Don Kojis,33.0,SEA,SF,73.0,,1857.0,4.410958904109589,9.41095890410959,0.469,2.5753424657534247,3.2465753424657535,0.793,335.0,82.0,168.0,11.397260273972602,0.0,
83.0,Don Adams,24.0,2TM,SF,73.0,,2071.0,4.287671232876712,10.931506849315069,0.392,2.808219178082192,3.767123287671233,0.745,502.0,140.0,266.0,11.383561643835616,0.0,
84.0,Dave Stallworth,30.0,2TM,SF,78.0,0.0,2040.0,4.3076923076923075,9.974358974358974,0.432,1.9487179487179487,2.41025641025641,0.809,433.0,158.0,217.0,10.564102564102564,0.0,
85.0,Rick Roberson,24.0,CLE,PF,63.0,,2207.0,4.825396825396825,10.920634920634921,0.442,3.4126984126984126,5.809523809523809,0.587,801.0,109.0,251.0,13.063492063492063,0.0,
86.0,Rick Adelman,25.0,POR,PG,80.0,,2445.0,4.1125,9.4125,0.437,1.8875,2.5125,0.751,229.0,413.0,209.0,10.1125,0.0,
87.0,Johnny Green,38.0,CIN,PF,82.0,,1914.0,4.036585365853658,7.097560975609756,0.569,1.7195121951219512,3.048780487804878,0.564,560.0,120.0,238.0,9.792682926829269,0.0,
89.0,Dick Garrett,25.0,BUF,SG,73.0,,1905.0,4.4520547945205475,10.068493150684931,0.442,1.8630136986301369,2.1506849315068495,0.866,225.0,165.0,225.0,10.767123287671232,0.0,
91.0,Ron Williams,27.0,GSW,PG,80.0,,1932.0,3.6375,7.675,0.474,2.4375,2.925,0.833,147.0,308.0,232.0,9.7125,0.0,
92.0,Cliff Meely,24.0,HOU,PF,77.0,,1815.0,4.090909090909091,10.077922077922079,0.406,1.7272727272727273,2.5584415584415585,0.675,507.0,119.0,254.0,9.909090909090908,0.0,
93.0,Earl Monroe,27.0,2TM,SG,63.0,8.0,1337.0,4.555555555555555,10.507936507936508,0.434,2.7777777777777777,3.5555555555555554,0.781,100.0,142.0,139.0,11.88888888888889,0.0,
94.0,Terry Dischinger,31.0,DET,SF,79.0,,2062.0,3.7341772151898733,7.265822784810126,0.514,1.9746835443037976,2.5316455696202533,0.78,338.0,92.0,289.0,9.443037974683545,0.0,
95.0,Mo Layton,23.0,PHO,PG,80.0,,1849.0,3.8,8.9625,0.424,1.525,2.0625,0.739,164.0,247.0,219.0,9.125,0.0,
96.0,Greg Smith,25.0,2TM,SF,82.0,,2256.0,3.768292682926829,8.182926829268293,0.461,1.353658536585366,2.048780487804878,0.661,483.0,222.0,259.0,8.890243902439025,0.0,
97.0,Fred Hilton,24.0,BUF,SG,61.0,,1349.0,5.065573770491803,13.032786885245901,0.389,1.4754098360655739,2.0,0.738,156.0,116.0,145.0,11.60655737704918,0.0,
98.0,Howard Komives,30.0,DET,PG,79.0,,2071.0,3.3164556962025316,8.886075949367088,0.373,2.0759493670886076,2.569620253164557,0.808,172.0,291.0,196.0,8.708860759493671,0.0,
101.0,Dave Wohl,22.0,PHI,PG,79.0,32.0,1628.0,3.0759493670886076,7.177215189873418,0.429,1.9746835443037976,2.607594936708861,0.757,150.0,228.0,229.0,8.126582278481013,0.0,
103.0,Clyde Lee,27.0,GSW,PF,78.0,,2674.0,3.282051282051282,6.9743589743589745,0.471,1.5384615384615385,2.8461538461538463,0.541,1132.0,85.0,244.0,8.102564102564102,0.0,
105.0,Otto Moore,25.0,PHO,C,81.0,,1624.0,3.2098765432098766,7.37037037037037,0.436,1.1604938271604939,1.9259259259259258,0.603,540.0,88.0,212.0,7.580246913580247,0.0,
111.0,Clifford Ray,23.0,CHI,C,82.0,27.0,1872.0,2.707317073170732,5.426829268292683,0.499,1.6341463414634145,2.658536585365854,0.615,869.0,254.0,296.0,7.048780487804878,0.0,ROY-4
114.0,Tom Boerwinkle,26.0,CHI,C,80.0,53.0,2022.0,2.7375,6.25,0.438,1.475,2.25,0.656,897.0,281.0,253.0,6.95,0.0,
122.0,Matt Guokas,27.0,CIN,SG,61.0,,1975.0,3.1311475409836067,6.311475409836065,0.496,1.0491803278688525,1.360655737704918,0.771,142.0,321.0,150.0,7.311475409836065,0.0,
124.0,Curtis Perry,23.0,2TM,C,75.0,,1826.0,2.4133333333333336,6.48,0.372,1.0133333333333334,1.5866666666666667,0.639,593.0,100.0,261.0,5.84,0.0,
