Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
63.0,John Williamson,27.0,NJN,SG,74.0,,2451.0,11.4,24.4,0.465,6.7,7.8,0.854,0.9,2.6,3.5,4.6,1.6,0.2,4.2,3.8,29.4,103.0,106.0,
64.0,Walter Davis,24.0,PHO,SF,79.0,,2437.0,13.9,24.7,0.561,6.2,7.4,0.831,2.0,4.8,6.8,6.2,2.7,0.5,5.3,4.5,33.9,110.0,102.0,"MVP-10,AS,NBA2"
65.0,Bob Wilkerson,24.0,DEN,SF,80.0,,2425.0,7.4,16.2,0.456,2.2,3.2,0.688,1.9,5.9,7.7,5.3,2.2,0.4,3.7,3.6,17.0,96.0,103.0,
66.0,Eddie Johnson,23.0,ATL,SG,78.0,,2413.0,9.7,19.1,0.51,4.7,5.7,0.832,1.3,2.0,3.3,7.0,2.3,0.2,4.1,4.7,24.2,109.0,106.0,
67.0,Robert Parish,25.0,GSW,C,76.0,,2411.0,10.8,21.6,0.499,3.8,5.5,0.698,5.2,12.7,17.8,2.2,1.9,4.2,4.5,5.9,25.4,100.0,94.0,
68.0,John Drew,24.0,ATL,SF,79.0,,2410.0,12.6,26.7,0.473,9.6,13.2,0.731,4.4,5.8,10.1,2.3,2.5,0.3,4.1,6.5,34.9,109.0,103.0,
69.0,Maurice Cheeks,22.0,PHI,PG,82.0,82.0,2409.0,5.5,10.7,0.51,1.9,2.6,0.721,1.2,3.6,4.7,8.0,3.2,0.2,3.6,3.7,12.8,101.0,100.0,
70.0,Wes Unseld,32.0,WSB,C,77.0,,2406.0,6.5,11.2,0.577,2.8,4.4,0.643,5.1,10.4,15.5,5.9,1.3,0.7,2.9,3.8,15.8,118.0,101.0,
71.0,Jim Cleamons,29.0,NYK,PG,79.0,71.0,2390.0,6.0,12.6,0.473,2.5,3.3,0.76,1.2,3.1,4.3,7.2,1.4,0.2,2.7,2.8,14.4,106.0,108.0,
72.0,John Johnson,31.0,SEA,SF,82.0,82.0,2386.0,6.9,16.0,0.434,3.7,4.9,0.76,2.5,5.5,8.0,7.0,1.1,0.5,4.9,4.8,17.6,94.0,102.0,
73.0,Ray Williams,24.0,NYK,PG,81.0,53.0,2370.0,11.1,24.3,0.457,4.8,6.0,0.802,2.0,3.6,5.6,9.7,2.5,0.4,5.5,5.3,27.1,100.0,106.0,
74.0,Alvan Adams,24.0,PHO,C,77.0,,2364.0,10.6,20.1,0.53,4.3,5.4,0.799,4.1,9.1,13.2,6.7,2.1,1.2,5.2,4.6,25.6,106.0,100.0,
