Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
106.0,Robert Horry,27.0,LAL,PF,72.0,71.0,2192.0,4.7,9.8,0.476,0.4,2.2,0.204,4.2,7.7,0.554,0.499,2.7,4.0,0.692,4.4,8.3,12.7,3.8,2.6,2.2,2.3,5.6,12.5,114.0,100.0,
107.0,Antonio Davis,29.0,IND,PF,82.0,12.0,2191.0,6.3,13.2,0.481,0.0,0.1,0.0,6.3,13.1,0.484,0.481,6.9,9.9,0.696,4.8,9.2,14.0,1.5,1.1,1.8,2.6,5.8,19.6,113.0,100.0,
108.0,John Starks,32.0,NYK,SG,82.0,10.0,2188.0,9.3,23.6,0.393,3.2,9.9,0.327,6.0,13.7,0.441,0.461,4.6,5.8,0.787,1.2,4.5,5.7,5.4,1.9,0.1,3.6,5.1,26.3,101.0,102.0,6MOY-4
109.0,Chris Mills,28.0,NYK,SF,80.0,29.0,2183.0,7.3,16.8,0.433,1.0,3.4,0.292,6.3,13.4,0.468,0.462,3.8,4.7,0.804,3.0,7.2,10.2,3.3,1.1,0.7,2.7,5.4,19.3,104.0,101.0,
110.0,Chris Mullin,34.0,IND,SF,82.0,82.0,2177.0,8.4,17.4,0.481,2.7,6.1,0.44,5.7,11.3,0.503,0.559,3.9,4.1,0.939,1.0,5.3,6.2,4.7,2.4,1.0,2.9,4.7,23.3,114.0,101.0,
111.0,Johnny Newman,34.0,DEN,SF,74.0,15.0,2176.0,8.5,19.7,0.431,0.9,2.6,0.343,7.6,17.1,0.444,0.453,9.0,10.9,0.82,1.2,2.2,3.5,3.4,1.9,0.6,3.6,5.1,26.8,107.0,115.0,
112.0,Shaquille O'Neal,25.0,LAL,C,60.0,57.0,2175.0,15.8,27.1,0.584,0.0,0.0,,15.8,27.1,0.584,0.584,8.5,16.1,0.527,4.9,11.2,16.1,3.3,0.9,3.4,4.1,4.6,40.1,113.0,101.0,"MVP-4,AS,NBA1"
113.0,Dale Davis,28.0,IND,C,78.0,78.0,2174.0,6.9,12.5,0.548,0.0,0.0,,6.9,12.5,0.548,0.548,2.0,4.3,0.465,5.9,9.5,15.3,1.8,1.3,2.2,1.8,5.3,15.7,114.0,99.0,
114.0,Derrick Coleman,30.0,PHI,PF,59.0,58.0,2135.0,8.8,21.6,0.411,0.6,2.4,0.265,8.2,19.1,0.429,0.426,7.5,9.7,0.772,3.7,10.9,14.6,3.6,1.1,1.7,3.9,3.6,25.9,102.0,103.0,
115.0,Armen Gilliam,33.0,MIL,PF,82.0,25.0,2114.0,8.2,17.0,0.484,0.0,0.1,0.0,8.2,16.9,0.487,0.484,6.7,8.4,0.802,3.7,7.4,11.1,2.6,1.6,0.9,3.7,4.5,23.2,108.0,105.0,
116.0,Rik Smits,31.0,IND,C,73.0,69.0,2085.0,13.5,27.2,0.495,0.0,0.1,0.0,13.5,27.1,0.497,0.495,4.9,6.3,0.783,3.3,9.9,13.2,2.6,1.0,2.3,3.5,6.4,31.9,104.0,99.0,"MVP-16,AS"
117.0,Lorenzen Wright,22.0,LAC,C,69.0,38.0,2067.0,6.1,13.6,0.445,0.0,0.1,0.0,6.1,13.6,0.446,0.445,3.5,5.4,0.659,4.5,10.7,15.2,1.4,1.4,2.2,2.0,6.0,15.7,104.0,107.0,
119.0,Kobe Bryant,19.0,LAL,SF,79.0,1.0,2056.0,9.8,22.8,0.428,1.9,5.5,0.341,7.9,17.3,0.456,0.469,9.1,11.4,0.794,2.0,4.1,6.0,5.0,1.8,1.0,3.9,4.5,30.4,110.0,106.0,"6MOY-2,AS"
120.0,Nick Van Exel,26.0,LAL,PG,64.0,46.0,2053.0,7.8,18.6,0.419,3.1,7.9,0.389,4.7,10.7,0.44,0.501,3.4,4.3,0.791,0.8,4.1,4.8,11.0,1.6,0.1,2.6,3.0,22.0,118.0,108.0,AS
121.0,Adam Keefe,27.0,UTA,C,80.0,75.0,2047.0,6.0,11.2,0.54,0.0,0.0,,6.0,11.2,0.54,0.54,4.3,5.3,0.81,4.7,6.8,11.5,2.3,1.4,0.6,1.9,4.5,16.3,125.0,107.0,
122.0,Bobby Jackson,24.0,DEN,PG,68.0,53.0,2042.0,8.1,20.7,0.392,0.6,2.1,0.259,7.6,18.6,0.407,0.405,3.9,4.8,0.814,2.0,5.9,7.9,8.3,2.8,0.3,4.8,4.2,20.7,92.0,111.0,
123.0,Marcus Camby,23.0,TOR,C,63.0,58.0,2002.0,8.0,19.3,0.412,0.0,0.1,0.0,8.0,19.3,0.413,0.412,3.9,6.3,0.611,5.3,6.8,12.1,2.9,1.8,6.0,3.5,5.2,19.8,94.0,107.0,
124.0,Alan Henderson,25.0,ATL,PF,69.0,33.0,2000.0,10.0,20.6,0.485,0.1,0.2,0.5,9.9,20.5,0.485,0.487,6.9,10.6,0.652,5.5,6.6,12.1,2.0,1.1,1.0,3.0,4.8,27.0,111.0,106.0,MIP-1
125.0,Mario Elie,34.0,HOU,SF,73.0,59.0,1988.0,5.5,12.1,0.452,1.5,5.0,0.291,4.0,7.1,0.566,0.512,3.8,4.6,0.833,1.0,3.1,4.1,5.9,2.1,0.2,2.7,3.1,16.2,114.0,111.0,
126.0,Michael Curry,29.0,MIL,SG,82.0,27.0,1978.0,5.3,11.2,0.469,0.1,0.2,0.444,5.2,11.0,0.469,0.474,4.0,4.7,0.835,0.7,1.9,2.6,3.7,1.5,0.4,2.1,5.9,14.6,110.0,110.0,6MOY-6
127.0,Blue Edwards,32.0,VAN,SG,81.0,20.0,1968.0,8.6,19.6,0.439,1.1,3.2,0.333,7.6,16.5,0.46,0.466,4.8,5.7,0.837,1.6,4.1,5.7,5.3,2.3,0.7,3.5,4.8,23.1,104.0,112.0,
128.0,Antonio Daniels,22.0,VAN,SG,74.0,50.0,1956.0,6.1,14.6,0.416,0.3,1.4,0.212,5.8,13.2,0.438,0.426,3.0,4.5,0.659,0.6,3.2,3.8,8.9,1.5,0.3,4.4,2.3,15.4,93.0,115.0,
129.0,Khalid Reeves,25.0,DAL,PG,82.0,54.0,1950.0,6.8,16.2,0.418,1.5,4.2,0.368,5.3,12.1,0.435,0.465,4.5,5.8,0.775,1.5,3.6,5.1,6.3,2.2,0.3,3.6,5.3,19.6,103.0,109.0,
130.0,Dale Ellis,37.0,SEA,SF,79.0,0.0,1939.0,9.6,19.3,0.497,3.5,7.6,0.464,6.1,11.7,0.519,0.588,3.1,3.9,0.782,1.4,3.7,5.1,2.5,1.7,0.1,2.0,3.5,25.7,118.0,108.0,6MOY-3
132.0,Dan Majerle,32.0,MIA,SG,72.0,22.0,1928.0,5.2,12.4,0.419,3.1,8.4,0.376,2.1,4.1,0.507,0.546,1.1,1.4,0.784,1.4,6.2,7.6,4.4,1.9,0.4,1.8,3.9,14.7,115.0,103.0,
133.0,Brian Grant,25.0,POR,SF,61.0,49.0,1921.0,7.9,15.5,0.508,0.0,0.0,0.0,7.9,15.4,0.509,0.508,4.7,6.3,0.75,5.5,9.9,15.4,2.4,1.2,1.2,3.1,5.1,20.5,112.0,101.0,
134.0,Bobby Phills,28.0,CHH,SG,62.0,61.0,1887.0,7.0,15.7,0.446,1.3,3.2,0.386,5.7,12.5,0.461,0.486,3.0,4.0,0.757,1.7,4.5,6.1,5.3,2.3,0.5,3.1,5.1,18.3,104.0,106.0,
135.0,John Stockton,35.0,UTA,PG,64.0,64.0,1858.0,7.8,14.8,0.528,1.1,2.6,0.429,6.7,12.2,0.55,0.567,5.5,6.7,0.827,1.0,3.8,4.8,15.7,2.6,0.3,4.7,4.0,22.3,122.0,107.0,MVP-13
136.0,Kenny Anderson,27.0,2TM,PG,61.0,56.0,1858.0,7.6,19.2,0.398,1.6,4.6,0.356,6.0,14.6,0.411,0.44,4.4,5.5,0.789,1.1,3.8,4.9,9.8,2.5,0.0,4.1,3.8,21.3,103.0,105.0,
137.0,Matt Geiger,28.0,CHH,C,78.0,42.0,1839.0,10.5,20.7,0.505,0.0,0.3,0.091,10.4,20.4,0.511,0.506,4.9,6.9,0.712,5.7,9.5,15.2,2.3,2.0,2.5,3.2,5.6,25.8,109.0,101.0,
138.0,Derek Anderson,23.0,CLE,SF,66.0,13.0,1839.0,6.9,17.0,0.408,0.5,2.4,0.202,6.4,14.6,0.442,0.422,8.0,9.1,0.873,1.6,3.8,5.4,6.6,2.5,0.4,3.7,4.0,22.4,107.0,101.0,
